,RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,latitude,longitude
259,395007,264,"Pueblo, CO",msa,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,12.0,16.0,26.0,24.0,9.0,7.0,19.0,22.0,6.0,5.0,15.0,5.0,6.0,7.0,9.0,9.0,12.0,15.0,14.0,12.0,10.0,10.0,8.0,10.0,11.0,12.0,17.0,28.0,21.0,30.0,41.0,50.0,34.0,31.0,22.0,23.0,38.2544472,-104.609141
260,394392,265,"Blacksburg, VA",msa,VA,67.0,19.0,15.0,23.0,15.0,22.0,21.0,33.0,28.0,22.0,45.0,35.0,47.0,27.0,14.0,14.0,17.0,10.0,18.0,18.0,22.0,32.0,24.0,38.0,16.0,15.0,7.0,17.0,12.0,11.0,12.0,7.0,12.0,9.0,8.0,16.0,8.0,13.0,4.0,4.0,4.0,5.0,8.0,8.0,7.0,9.0,7.0,9.0,5.0,5.0,4.0,5.0,5.0,7.0,8.0,9.0,13.0,18.0,15.0,16.0,24.0,5.0,7.0,6.0,6.0,37.2296566,-80.4136767
261,395215,266,"Wausau, WI",msa,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,8.0,7.0,7.0,8.0,5.0,12.0,9.0,17.0,19.0,21.0,31.0,34.0,23.0,6.0,5.0,6.0,6.0,10.0,8.0,8.0,11.0,20.0,34.0,34.0,32.0,6.0,6.0,5.0,44.9596017,-89.6298239
262,394731,267,"Kahului, HI",msa,HI,59.0,56.0,53.0,45.0,41.0,29.0,53.0,32.0,36.0,36.0,31.0,35.0,41.0,40.0,39.0,33.0,38.0,41.0,41.0,36.0,33.0,28.0,29.0,38.0,43.0,35.0,35.0,33.0,31.0,27.0,25.0,31.0,37.0,42.0,64.0,44.0,65.0,32.0,30.0,14.0,11.0,9.0,12.0,10.0,8.0,7.0,9.0,10.0,8.0,8.0,9.0,11.0,11.0,13.0,15.0,24.0,21.0,21.0,14.0,16.0,34.0,21.0,33.0,19.0,15.0,20.8747708,-156.4529879461996
263,394720,268,"Janesville, WI",msa,WI,54.0,42.0,35.0,23.0,28.0,30.0,29.0,33.0,38.0,35.0,42.0,64.0,72.0,38.0,50.0,22.0,26.0,33.0,30.0,39.0,36.0,33.0,37.0,56.0,55.0,76.0,26.0,28.0,37.0,33.0,37.0,32.0,31.0,29.0,34.0,39.0,24.0,25.0,15.0,9.0,6.0,8.0,9.0,14.0,17.0,21.0,29.0,35.0,21.0,14.0,7.0,6.0,6.0,7.0,10.0,14.0,14.0,14.0,17.0,19.0,16.0,31.0,7.0,5.0,5.0,42.6829765,-89.0226793
264,394393,270,"Bloomington, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,45.0,45.0,46.0,35.0,15.0,4.0,5.0,5.0,6.0,10.0,8.0,13.0,10.0,14.0,25.0,7.0,8.0,5.0,5.0,5.0,6.0,10.0,18.0,15.0,23.0,26.0,40.0,52.0,15.0,10.0,6.0,8.0,39.1670396,-86.5342881
265,394930,271,"Odessa, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,61.0,68.0,41.0,16.0,33.0,31.8457149,-102.367687
266,394710,272,"Jackson, MI",msa,MI,73.0,38.0,30.0,15.0,12.0,11.0,20.0,19.0,21.0,32.0,39.0,56.0,51.0,49.0,22.0,12.0,9.0,14.0,16.0,15.0,27.0,21.0,35.0,51.0,63.0,31.0,28.0,42.0,13.0,10.0,19.0,13.0,9.0,9.0,10.0,13.0,22.0,12.0,6.0,5.0,6.0,7.0,9.0,18.0,23.0,26.0,35.0,30.0,31.0,13.0,11.0,10.0,11.0,11.0,19.0,28.0,14.0,16.0,17.0,18.0,32.0,13.0,7.0,6.0,7.0,32.3086744,-90.1983063
267,395125,273,"State College, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,19.0,11.0,18.0,35.0,21.0,59.0,31.0,13.0,7.0,5.0,7.0,6.0,10.0,10.0,12.0,7.0,11.0,16.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,9.0,10.0,9.0,12.0,17.0,9.0,6.0,7.0,6.0,6.0,40.7944504,-77.8616386
268,395079,274,"Sebastian, FL",msa,FL,58.0,38.0,44.0,46.0,61.0,57.0,86.0,70.0,58.0,56.0,56.0,62.0,71.0,70.0,45.0,62.0,78.0,65.0,87.0,58.0,81.0,58.0,83.0,71.0,70.0,58.0,62.0,60.0,80.0,91.0,67.0,60.0,62.0,26.0,24.0,26.0,26.0,20.0,9.0,10.0,9.0,7.0,8.0,7.0,8.0,9.0,7.0,10.0,7.0,6.0,7.0,7.0,7.0,12.0,16.0,16.0,24.0,22.0,25.0,27.0,34.0,28.0,29.0,28.0,31.0,27.816415,-80.4706078
269,394814,275,"Madera, CA",msa,CA,63.0,52.0,19.0,26.0,20.0,40.0,32.0,43.0,60.0,42.0,41.0,74.0,79.0,39.0,54.0,34.0,29.0,33.0,43.0,32.0,26.0,42.0,46.0,65.0,60.0,58.0,22.0,48.0,37.0,31.0,23.0,13.0,17.0,11.0,14.0,16.0,15.0,11.0,10.0,9.0,10.0,11.0,12.0,14.0,20.0,14.0,11.0,25.0,14.0,13.0,11.0,10.0,10.0,16.0,15.0,16.0,25.0,26.0,35.0,44.0,,28.0,22.0,22.0,17.0,37.1716264,-119.7737991
270,394523,276,"Decatur, AL",msa,AL,,,,,,,,,,,,,,,,,,,,,,,,93.0,42.0,12.0,13.0,12.0,20.0,13.0,17.0,9.0,13.0,9.0,18.0,12.0,31.0,13.0,6.0,6.0,4.0,5.0,6.0,7.0,8.0,6.0,10.0,8.0,7.0,7.0,6.0,6.0,5.0,6.0,12.0,11.0,14.0,17.0,14.0,31.0,21.0,12.0,12.0,11.0,6.0,34.6240205,-87.05791872812708
271,394453,277,"Chambersburg, PA",msa,PA,80.0,73.0,44.0,32.0,31.0,42.0,39.0,35.0,34.0,56.0,55.0,62.0,71.0,58.0,45.0,29.0,25.0,35.0,28.0,20.0,30.0,20.0,48.0,60.0,49.0,23.0,17.0,38.0,23.0,15.0,11.0,13.0,22.0,9.0,9.0,16.0,10.0,7.0,5.0,6.0,6.0,7.0,7.0,10.0,10.0,10.0,9.0,11.0,11.0,7.0,7.0,6.0,6.0,7.0,6.0,10.0,10.0,8.0,20.0,16.0,16.0,7.0,7.0,6.0,7.0,39.9405903,-77.6598624
272,395193,278,"Vineland, NJ",msa,NJ,91.0,83.0,114.0,82.0,64.0,53.0,45.0,61.0,42.0,89.0,37.0,110.0,68.0,52.0,54.0,56.0,40.0,57.0,45.0,48.0,52.0,66.0,42.0,74.0,66.0,66.0,58.0,54.0,87.0,38.0,31.0,16.0,34.0,20.0,17.0,26.0,20.0,24.0,12.0,17.0,12.0,14.0,15.0,18.0,17.0,23.0,24.0,25.0,23.0,16.0,15.0,15.0,14.0,14.0,20.0,17.0,26.0,19.0,31.0,27.0,36.0,22.0,18.0,14.0,17.0,39.4862777,-75.0254256
273,394639,280,"Grand Junction, CO",msa,CO,26.0,19.0,15.0,13.0,16.0,18.0,15.0,20.0,20.0,28.0,35.0,34.0,28.0,27.0,26.0,17.0,14.0,16.0,19.0,19.0,21.0,30.0,29.0,45.0,48.0,36.0,20.0,22.0,15.0,18.0,17.0,8.0,,8.0,10.0,30.0,7.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,13.0,14.0,11.0,8.0,5.0,6.0,5.0,5.0,9.0,13.0,21.0,14.0,21.0,32.0,49.0,47.0,21.0,23.0,13.0,9.0,39.063956,-108.5507317
274,394563,281,"Elizabethtown, KY",msa,KY,,,,,,,,,,,,,61.0,74.0,34.0,35.0,16.0,25.0,58.0,43.0,45.0,68.0,21.0,90.0,75.0,71.0,67.0,14.0,18.0,14.0,8.0,5.0,16.0,6.0,10.0,8.0,12.0,13.0,7.0,6.0,5.0,7.0,6.0,12.0,12.0,17.0,16.0,22.0,22.0,8.0,10.0,8.0,8.0,10.0,14.0,21.0,16.0,16.0,37.0,35.0,43.0,32.0,21.0,17.0,15.0,37.693952,-85.8591285
