DATE,CSUSHPISA_CPIAUCSL
2/1/2015,77.84502
3/1/2015,77.94342
4/1/2015,78.09061
5/1/2015,78.10038
6/1/2015,78.14596
7/1/2015,78.32617
8/1/2015,78.69692
9/1/2015,79.28056
10/1/2015,79.64142
11/1/2015,79.97736
12/1/2015,80.43021
1/1/2016,80.79937
2/1/2016,81.07992
3/1/2016,81.06176
4/1/2016,81.02437
5/1/2016,81.1326
6/1/2016,81.19298
7/1/2016,81.57631
8/1/2016,81.89
9/1/2016,82.11319
10/1/2016,82.33709
11/1/2016,82.69171
12/1/2016,82.91115
1/1/2017,83.05659
2/1/2017,83.15314
3/1/2017,83.49401
4/1/2017,83.71801
5/1/2017,84.17972
6/1/2017,84.51086
7/1/2017,84.90094
8/1/2017,85.12458
9/1/2017,85.17341
10/1/2017,85.56465
11/1/2017,85.83545
12/1/2017,86.18083
1/1/2018,86.30811
2/1/2018,86.4779
3/1/2018,86.78504
4/1/2018,86.86565
5/1/2018,87.00597
6/1/2018,87.2681
7/1/2018,87.48934
8/1/2018,87.68963
9/1/2018,87.79393
10/1/2018,87.90912
11/1/2018,88.19748
12/1/2018,88.32739
1/1/2019,88.49924
2/1/2019,88.42592
3/1/2019,88.2225
4/1/2019,88.07997
5/1/2019,88.33699
6/1/2019,88.5929
7/1/2019,88.6606
8/1/2019,88.91182
9/1/2019,89.0955
10/1/2019,89.20206
11/1/2019,89.39897
12/1/2019,89.564
1/1/2020,89.84704
2/1/2020,90.14034
3/1/2020,90.77793
4/1/2020,91.70463
5/1/2020,91.91572
6/1/2020,91.7738
7/1/2020,92.01132
8/1/2020,92.92016
9/1/2020,94.12813
10/1/2020,95.64527
11/1/2020,96.83873
12/1/2020,97.6876
1/1/2021,98.70557
2/1/2021,99.49429
3/1/2021,100.30344
4/1/2021,101.16331
5/1/2021,102.36865
6/1/2021,103.53054
7/1/2021,104.76862
8/1/2021,106.01795
9/1/2021,106.94788
10/1/2021,107.26892
11/1/2021,107.71088
12/1/2021,108.39507
1/1/2022,109.46476
2/1/2022,110.69394
3/1/2022,111.607
4/1/2022,112.80177
5/1/2022,113.16437
6/1/2022,112.14972
7/1/2022,111.74955
8/1/2022,110.66024
9/1/2022,109.38931
10/1/2022,108.64439
11/1/2022,108.11555
12/1/2022,107.58
1/1/2023,106.84746
2/1/2023,106.65575
3/1/2023,107.00512
4/1/2023,107.17299
